Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Battery / Mileage,Notable Features,Price Min (Lakh),Price Max (Lakh),Price Avg (Lakh),Is EV,Fuel Type Clean
Toyota,Fortuner,2020,Electric SUV,Petrol,4,12.00 - 25.00,2633,23.1 kmpl,"TPMS, EBD, Leather Seats, Ventilated Seats, Sunroof, Touchscreen, AC, Wireless Charging, Voice Control",12.0,25.0,18.5,ICE/Hybrid,Petrol
Toyota,Hilux,2016,Luxury,Petrol,7,30.00 - 100.00,552,16.5 kmpl,"ABS, ADAS, Ventilated Seats, Touchscreen, Power Windows, Cruise Control, Sunroof, Connected Car",30.0,100.0,65.0,ICE/Hybrid,Petrol
Lexus,RX,2022,Hatchback,Petrol,12,3.50 - 8.50,13173,19.0 kmpl,"ESC, EBD, ADAS, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Touchscreen, Connected Car, Android Auto, HUD",3.5,8.5,6.0,ICE/Hybrid,Petrol
MG,Gloster,2022,SUV,Petrol,15,10.00 - 30.00,6261,15.2 kmpl,"360 Camera, TPMS, Touchscreen, Sunroof, Power Windows, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Petrol
Tata,Tiago,2019,Hatchback,Petrol,16,3.50 - 8.50,17447,23.9 kmpl,"Hill Hold, ESC, Leather Seats, Sunroof, AC, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
Citroen,C5 Aircross,2017,MPV,Petrol/CNG,5,8.00 - 20.00,3021,25.5 kmpl,"EBD, Hill Hold, ADAS, ESC, AC, Leather Seats, Ventilated Seats, Power Windows, Connected Car, Android Auto",8.0,20.0,14.0,ICE/Hybrid,Petrol/CNG
Citroen,C5 Aircross,2020,Hatchback,Diesel,21,3.50 - 8.50,9500,27.7 kmpl,"TPMS, EBD, Hill Hold, Cruise Control, Leather Seats, Sunroof, Apple CarPlay, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Diesel
Force,Gurkha,2022,Compact SUV,Petrol,8,7.00 - 18.00,6978,22.5 kmpl,"ADAS, Hill Hold, Leather Seats, AC, Sunroof, Cruise Control, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Petrol
Tata,Tigor,2019,Sedan,Diesel,23,6.00 - 15.00,7011,23.4 kmpl,"ABS, Airbags, 360 Camera, Leather Seats, Sunroof, Power Windows, AC, Touchscreen, Connected Car, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Diesel
Hyundai,Exter,2019,Compact SUV,Petrol,5,7.00 - 18.00,12404,24.4 kmpl,"ESC, 360 Camera, Power Windows, Leather Seats, Cruise Control, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Petrol
MG,Hector,2021,Electric Hatchback,Petrol,25,6.00 - 12.00,2780,15.4 kmpl,"Airbags, ADAS, TPMS, ESC, Ventilated Seats, Sunroof, Touchscreen, Cruise Control, Leather Seats, Voice Control, Android Auto, Connected Car",6.0,12.0,9.0,ICE/Hybrid,Petrol
Audi,Q3,2015,SUV,Petrol,4,10.00 - 30.00,6591,24.7 kmpl,"ADAS, ESC, ABS, Sunroof, Power Windows, Ventilated Seats, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Petrol
Hyundai,Exter,2021,SUV,Diesel,3,10.00 - 30.00,6640,24.1 kmpl,"ABS, 360 Camera, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging, Android Auto",10.0,30.0,20.0,ICE/Hybrid,Diesel
Honda,WR-V,2022,SUV,Petrol,8,10.00 - 30.00,2537,16.7 kmpl,"Airbags, Hill Hold, Ventilated Seats, AC, Sunroof, Cruise Control, Touchscreen, Voice Control, Android Auto, HUD",10.0,30.0,20.0,ICE/Hybrid,Petrol
BYD,Atto 3,2015,Sedan,Electric,11,7.20 - 19.50,7497,261 km range,"TPMS, 360 Camera, Cruise Control, Sunroof, Leather Seats, AC, Power Windows, Connected Car",7.2,19.5,13.35,EV,EV
Skoda,Slavia,2021,Compact SUV,Petrol,10,7.00 - 18.00,7090,17.0 kmpl,"Airbags, ESC, ABS, TPMS, Sunroof, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Connected Car, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Jeep,Meridian,2015,Hatchback,Petrol,15,3.50 - 8.50,12584,22.4 kmpl,"TPMS, ADAS, ABS, EBD, Leather Seats, Sunroof, Cruise Control, Touchscreen, AC, Android Auto, Apple CarPlay, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
Citroen,C3,2017,SUV,Petrol/Diesel,18,10.00 - 30.00,7049,15.7 kmpl,"360 Camera, TPMS, EBD, Power Windows, Ventilated Seats, Leather Seats, Voice Control, Wireless Charging, Android Auto",10.0,30.0,20.0,ICE/Hybrid,Petrol/Diesel
MG,ZS EV,2015,Hatchback,Petrol/CNG,15,3.50 - 8.50,18033,25.9 kmpl,"ABS, ADAS, Cruise Control, AC, Touchscreen, Voice Control, HUD, Connected Car",3.5,8.5,6.0,ICE/Hybrid,Petrol/CNG
MG,ZS EV,2017,Electric SUV,Petrol,3,12.00 - 25.00,1107,23.3 kmpl,"ADAS, Hill Hold, Airbags, Power Windows, Cruise Control, Sunroof, AC, Ventilated Seats, Voice Control, Android Auto, Wireless Charging",12.0,25.0,18.5,ICE/Hybrid,Petrol
Nissan,Kicks,2020,Sedan,Diesel,8,6.00 - 15.00,8843,19.5 kmpl,"EBD, ESC, ABS, Sunroof, Power Windows, AC, Cruise Control, HUD, Apple CarPlay",6.0,15.0,10.5,ICE/Hybrid,Diesel
Tata,Nexon,2016,MPV,Petrol,12,8.00 - 20.00,3120,15.8 kmpl,"Airbags, TPMS, Power Windows, Leather Seats, Cruise Control, Sunroof, Wireless Charging, HUD, Voice Control",8.0,20.0,14.0,ICE/Hybrid,Petrol
Force,Gurkha,2020,SUV,Petrol,1,10.00 - 30.00,3411,18.2 kmpl,"EBD, ADAS, Hill Hold, Airbags, Ventilated Seats, AC, Touchscreen, Cruise Control, HUD",10.0,30.0,20.0,ICE/Hybrid,Petrol
Volkswagen,Virtus,2020,SUV,Diesel,12,10.00 - 30.00,3420,27.2 kmpl,"ABS, ESC, ADAS, EBD, Sunroof, Leather Seats, Cruise Control, Touchscreen, Ventilated Seats, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Diesel
BYD,E6,2016,Hatchback,Petrol,23,3.50 - 8.50,14532,15.7 kmpl,"360 Camera, ESC, TPMS, AC, Sunroof, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
MG,Astor,2020,SUV,Petrol,14,10.00 - 30.00,6775,16.7 kmpl,"EBD, ADAS, ABS, Touchscreen, AC, Sunroof, Wireless Charging, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Petrol
Renault,Kiger,2016,Hatchback,Petrol/CNG,13,3.50 - 8.50,13369,28.0 kmpl,"ABS, ADAS, AC, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control, Connected Car, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol/CNG
MG,Hector,2020,Hatchback,Diesel,8,3.50 - 8.50,8742,24.3 kmpl,"TPMS, ABS, Touchscreen, Leather Seats, Cruise Control, Ventilated Seats, HUD",3.5,8.5,6.0,ICE/Hybrid,Diesel
Tata,Nexon,2020,Hatchback,Petrol,9,3.50 - 8.50,8646,22.5 kmpl,"ADAS, EBD, 360 Camera, ESC, Sunroof, Touchscreen, AC, Leather Seats, Ventilated Seats, Voice Control, HUD",3.5,8.5,6.0,ICE/Hybrid,Petrol
Jeep,Meridian,2018,Compact SUV,Petrol/CNG,10,7.00 - 18.00,10939,29.5 kmpl,"ABS, ADAS, Hill Hold, 360 Camera, Ventilated Seats, Cruise Control, Sunroof, Power Windows, HUD, Connected Car, Apple CarPlay",7.0,18.0,12.5,ICE/Hybrid,Petrol/CNG
Audi,A4,2015,Hatchback,Petrol,12,3.50 - 8.50,11687,24.3 kmpl,"ESC, TPMS, Hill Hold, Leather Seats, Cruise Control, Touchscreen, Android Auto, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Kia,Sonet,2022,Compact SUV,Petrol,21,7.00 - 18.00,11406,20.6 kmpl,"TPMS, ESC, ADAS, EBD, Leather Seats, Ventilated Seats, AC, Power Windows, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol
Mercedes,GLA,2015,Sedan,Petrol,5,6.00 - 15.00,12314,17.7 kmpl,"ADAS, 360 Camera, EBD, AC, Ventilated Seats, Sunroof, Cruise Control, Power Windows, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Petrol
Mercedes,A-Class,2019,Hatchback,Diesel,23,3.50 - 8.50,13705,19.3 kmpl,"ADAS, TPMS, EBD, ESC, Sunroof, Touchscreen, Cruise Control, Leather Seats, Power Windows, HUD",3.5,8.5,6.0,ICE/Hybrid,Diesel
Volkswagen,Polo,2022,Hatchback,Diesel,2,3.50 - 8.50,12267,27.0 kmpl,"Airbags, ADAS, EBD, ESC, AC, Touchscreen, Power Windows, Android Auto, HUD, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Diesel
Hyundai,Alcazar,2022,Electric SUV,Electric,7,14.40 - 32.50,1532,266 km range,"Hill Hold, ADAS, TPMS, Power Windows, Leather Seats, Ventilated Seats, HUD, Wireless Charging",14.4,32.5,23.45,EV,EV
BMW,3 Series,2019,SUV,Petrol/CNG,11,10.00 - 30.00,4198,24.7 kmpl,"360 Camera, TPMS, ADAS, EBD, Cruise Control, Touchscreen, Ventilated Seats, Voice Control, Apple CarPlay",10.0,30.0,20.0,ICE/Hybrid,Petrol/CNG
Audi,A4,2015,Compact SUV,Petrol,8,7.00 - 18.00,14358,20.0 kmpl,"EBD, Airbags, TPMS, ABS, Touchscreen, Leather Seats, Ventilated Seats, AC, Android Auto, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol
MG,ZS EV,2015,SUV,Petrol/CNG,5,10.00 - 30.00,5476,29.8 kmpl,"ABS, EBD, 360 Camera, AC, Touchscreen, Power Windows, Leather Seats, Sunroof, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Petrol/CNG
Maruti Suzuki,Ertiga,2016,Electric Hatchback,Petrol,18,6.00 - 12.00,3015,16.5 kmpl,"360 Camera, Hill Hold, AC, Ventilated Seats, Power Windows, HUD, Wireless Charging",6.0,12.0,9.0,ICE/Hybrid,Petrol
Mercedes,GLA,2020,Sedan,Petrol,2,6.00 - 15.00,10568,21.0 kmpl,"Hill Hold, TPMS, ABS, Leather Seats, Cruise Control, AC, Sunroof, Power Windows, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Petrol
BMW,X1,2016,Compact SUV,Petrol,7,7.00 - 18.00,14113,20.3 kmpl,"ESC, Airbags, ADAS, TPMS, Power Windows, AC, Ventilated Seats, Leather Seats, Cruise Control, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Petrol
Toyota,Fortuner,2021,Compact SUV,Petrol/CNG,6,7.00 - 18.00,8956,23.7 kmpl,"360 Camera, Airbags, ADAS, Ventilated Seats, Cruise Control, AC, Power Windows, Sunroof, HUD, Voice Control, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Petrol/CNG
Mahindra,Marazzo,2018,Electric SUV,Petrol,24,12.00 - 25.00,2411,24.1 kmpl,"EBD, ADAS, 360 Camera, ABS, Cruise Control, Touchscreen, Leather Seats, AC, Wireless Charging",12.0,25.0,18.5,ICE/Hybrid,Petrol
Mahindra,XUV 700,2017,Hatchback,Petrol,25,3.50 - 8.50,10315,21.5 kmpl,"ABS, 360 Camera, TPMS, EBD, Power Windows, Touchscreen, Cruise Control, Ventilated Seats, HUD, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Mahindra,Bolero,2021,SUV,Petrol,8,10.00 - 30.00,3615,19.5 kmpl,"ABS, ADAS, EBD, 360 Camera, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Apple CarPlay, Android Auto",10.0,30.0,20.0,ICE/Hybrid,Petrol
Lexus,ES,2023,SUV,Petrol,14,10.00 - 30.00,3867,16.0 kmpl,"TPMS, ABS, ADAS, Ventilated Seats, AC, Leather Seats, Android Auto, Wireless Charging",10.0,30.0,20.0,ICE/Hybrid,Petrol
MG,ZS EV,2023,Sedan,Petrol,18,6.00 - 15.00,9849,20.7 kmpl,"360 Camera, EBD, Leather Seats, AC, Sunroof, Power Windows, Touchscreen, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Petrol
MG,Comet EV,2017,Sedan,Electric,25,7.20 - 19.50,10082,375 km range,"TPMS, ADAS, ESC, Ventilated Seats, Sunroof, Leather Seats, AC, Touchscreen, Wireless Charging",7.2,19.5,13.35,EV,EV
Honda,Elevate,2022,SUV,Petrol,8,10.00 - 30.00,2646,17.2 kmpl,"EBD, Hill Hold, Airbags, Sunroof, Ventilated Seats, Cruise Control, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Petrol
Maruti Suzuki,Ertiga,2016,Hatchback,Diesel,9,3.50 - 8.50,15961,24.6 kmpl,"ADAS, ESC, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Ventilated Seats, Android Auto, Connected Car",3.5,8.5,6.0,ICE/Hybrid,Diesel
Tata,Harrier,2019,SUV,Petrol,14,10.00 - 30.00,6314,16.4 kmpl,"ADAS, ABS, Hill Hold, Power Windows, Touchscreen, Ventilated Seats, Leather Seats, Apple CarPlay",10.0,30.0,20.0,ICE/Hybrid,Petrol
BYD,E6,2016,SUV,Petrol,4,10.00 - 30.00,6782,18.6 kmpl,"360 Camera, Airbags, Hill Hold, ADAS, Ventilated Seats, Sunroof, Cruise Control, HUD, Apple CarPlay, Wireless Charging",10.0,30.0,20.0,ICE/Hybrid,Petrol
Citroen,C5 Aircross,2021,Compact SUV,Diesel,9,7.00 - 18.00,12711,24.5 kmpl,"ESC, 360 Camera, EBD, Airbags, Power Windows, Touchscreen, Leather Seats, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Diesel
Lexus,NX,2020,Compact SUV,Diesel,20,7.00 - 18.00,9628,23.4 kmpl,"360 Camera, Hill Hold, TPMS, Power Windows, AC, Leather Seats, Apple CarPlay, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Diesel
Kia,Carens,2022,Hatchback,Electric,25,4.20 - 11.05,14760,258 km range,"EBD, 360 Camera, Airbags, Touchscreen, Ventilated Seats, Cruise Control, AC, Sunroof, Voice Control, Android Auto, Apple CarPlay",4.2,11.05,7.625,EV,EV
Honda,Elevate,2017,Hatchback,Petrol,6,3.50 - 8.50,11847,24.5 kmpl,"ABS, ADAS, Airbags, EBD, AC, Sunroof, Leather Seats, Power Windows, Voice Control, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
BMW,2 Series,2021,Hatchback,Petrol,7,3.50 - 8.50,17984,24.8 kmpl,"ESC, Airbags, Ventilated Seats, AC, Sunroof, HUD, Apple CarPlay, Android Auto",3.5,8.5,6.0,ICE/Hybrid,Petrol
Mahindra,Bolero,2022,Sedan,Petrol,11,6.00 - 15.00,8482,19.7 kmpl,"TPMS, ABS, AC, Sunroof, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol
Jeep,Compass,2020,Compact SUV,Petrol,4,7.00 - 18.00,12480,24.8 kmpl,"EBD, ADAS, Power Windows, Sunroof, Ventilated Seats, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
Kia,Sonet,2015,Luxury,Petrol,21,30.00 - 100.00,340,23.7 kmpl,"TPMS, ESC, AC, Leather Seats, Power Windows, Sunroof, HUD, Connected Car, Wireless Charging",30.0,100.0,65.0,ICE/Hybrid,Petrol
Renault,Triber,2017,Electric SUV,Petrol,2,12.00 - 25.00,2357,23.3 kmpl,"360 Camera, EBD, ESC, Ventilated Seats, AC, Leather Seats, Apple CarPlay",12.0,25.0,18.5,ICE/Hybrid,Petrol
Mahindra,Marazzo,2022,Luxury,Diesel,2,30.00 - 100.00,203,26.3 kmpl,"EBD, Airbags, Cruise Control, Ventilated Seats, AC, Sunroof, Connected Car, Apple CarPlay",30.0,100.0,65.0,ICE/Hybrid,Diesel
Jeep,Compass,2020,Hatchback,Petrol,8,3.50 - 8.50,10489,19.4 kmpl,"ADAS, Hill Hold, EBD, Leather Seats, Sunroof, Power Windows, Touchscreen, Apple CarPlay, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
Citroen,C5 Aircross,2021,Compact SUV,Petrol,25,7.00 - 18.00,12796,15.8 kmpl,"Hill Hold, ABS, 360 Camera, Power Windows, Sunroof, Touchscreen, Voice Control, Connected Car, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Renault,Triber,2018,Hatchback,Diesel,9,3.50 - 8.50,8758,22.9 kmpl,"Airbags, Hill Hold, ADAS, Power Windows, Ventilated Seats, Cruise Control, Touchscreen, Sunroof, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Diesel
Kia,Seltos,2021,Hatchback,Petrol,4,3.50 - 8.50,10354,17.6 kmpl,"360 Camera, Hill Hold, Power Windows, Touchscreen, AC, Cruise Control, Apple CarPlay, HUD, Android Auto",3.5,8.5,6.0,ICE/Hybrid,Petrol
Mercedes,A-Class,2021,SUV,Diesel,6,10.00 - 30.00,4579,23.3 kmpl,"Hill Hold, Airbags, ADAS, EBD, Touchscreen, Cruise Control, Sunroof, Leather Seats, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Diesel
Audi,Q5,2016,Sedan,Diesel,16,6.00 - 15.00,8113,19.3 kmpl,"Hill Hold, 360 Camera, Sunroof, Leather Seats, AC, Touchscreen, Apple CarPlay, HUD, Connected Car",6.0,15.0,10.5,ICE/Hybrid,Diesel
Maruti Suzuki,Baleno,2017,Electric SUV,Diesel,9,12.00 - 25.00,3634,25.4 kmpl,"ADAS, Hill Hold, Ventilated Seats, Power Windows, Sunroof, AC, Leather Seats, Android Auto",12.0,25.0,18.5,ICE/Hybrid,Diesel
Citroen,C5 Aircross,2018,Sedan,Petrol,17,6.00 - 15.00,8006,23.5 kmpl,"Airbags, ESC, TPMS, Hill Hold, AC, Sunroof, Touchscreen, Cruise Control, Connected Car, Voice Control, HUD",6.0,15.0,10.5,ICE/Hybrid,Petrol
Skoda,Kushaq,2019,SUV,Diesel,5,10.00 - 30.00,5207,19.7 kmpl,"Hill Hold, Airbags, Touchscreen, AC, Power Windows, Ventilated Seats, Cruise Control, Voice Control, Wireless Charging, Android Auto",10.0,30.0,20.0,ICE/Hybrid,Diesel
Volkswagen,Polo,2015,Sedan,Diesel,4,6.00 - 15.00,4771,19.9 kmpl,"ESC, Airbags, EBD, ADAS, Touchscreen, AC, Leather Seats, Ventilated Seats, HUD",6.0,15.0,10.5,ICE/Hybrid,Diesel
Toyota,Innova,2018,Sedan,Electric,5,7.20 - 19.50,12079,428 km range,"ADAS, TPMS, Sunroof, AC, Touchscreen, Ventilated Seats, Apple CarPlay",7.2,19.5,13.35,EV,EV
